recStatus,primaryKey,mTrnFmly,mTrnGrp,mTrnType,mTrnTypo,internal,portfolio,counterparty,strategy,mInstrument,mPlInscur,mMktIndex,mCommentBs,mBtrader,mBcomment0,mBcomment1,mBcomment2,mBsection,mBentity,mStrader,mScomment0,mScomment1,mScomment2,mSsection,mSentity,mTrnDate,mTrnExp,mBrwNom1,mBrwNomu1,mBrwNom2,mBrwNomu2,mBrwRte1,mBrwRte2,mBrwMrg1,mBrwMrg2,mAlmStrate,mAnSegment,mBlockpymnt,mBmaFact,mCustdyAcc,mCustdyPos,mDerecog,mDfUsiPre,mDfUsiVal,mDfVenue,mDmtradedat,mEmUtiPre,mEmUtiVal,mExptMat,mForbear,mFundedNb,mGainshare,mHedgetype,mIfrsMacro,mIfrsOffse,mIfrs9Class,mIfrs9Hedge,mIfrs9Model,mIntxferPr,mModcshflow,mOptionTyp,mRestrucDt,mRestrucFg,mSgExclude,mSpbaMidas,mSppi,mTdr,mRplAmo,mRplUsrdat,mRplDate1,mRplDate2,mRplAmttyp,mRplCur,mAccPror
"MATCHED","609591","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","MEEDOMNI","","","USD","GCPD 0 041618  BOND | 2362           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20170915","20180416","1.079","CTR","0 | 100000000","USD","99.18333361","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609593","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","MEEDOMNI","","","USD","GCPD 0 061118  BOND | 2364           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20170915","20180611","1.484","CTR","0 | 100000000","USD","98.91383332","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609595","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","MEEDOMNI","","","USD","GCPD 0 061118  BOND | 2364           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20170915","20180611","0.75","CTR","0 | 100000000","USD","98.91383332","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609599","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","PFMPBGSTP","","","USD","GCPD 0 061218  BOND | 2366           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20170915","20180612","2.95","CTR","0 | 100000000","USD","98.90975024","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609601","IRD","IRS","","IRS TRD","N","DDCO | TSDT","CITI-LCH | LCH","","USDLIBOR3M6M | USD LIBOR S 3M","USD","USD3MLIBOR | USD LIBOR 3M","B","OSTRG | MUREXFO","","","","TRD","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20170915","20240919","54600000","USD","54600000","USD","2.0215","0","0","0","","","","0","000076742","HELD","","1010000051","SW10000000LCH0004057759732824650","","0","","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609605","IRD","IRS","","IRS TRD","N","DIRS | TSDT","BOADERIVATES","","USDBMA3M%LIB3M | USD SIFMA AVG LIBOR 3M","USD","USD3MBMA__USD3MLIBOR | 8745__USD LIBOR 3M","B","OSTRG | MUREXFO","","","","TRD","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20170915","20370918","22000000","USD","22000000","USD","0","0","0","0","","","","0","000076742","HELD","","1030282338","MARKITWIRE0000000000000085257116","","0","","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609608","IRD","IRS","","IRS TRD","N","DIRS | TSDT","BOADERIVATES","","USDBMA3M%LIB3M | USD SIFMA AVG LIBOR 3M","USD","USD3MBMA__USD3MLIBOR | 8745__USD LIBOR 3M","B","OSTRG | MUREXFO","","","","TRD","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20170915","20370918","33000000","USD","33000000","USD","0","0","0","0","","","","0","000076742","HELD","","1030282338","MARKITWIRE0000000000000085268623","","0","","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609616","IRD","IRS","","IRS TRD","N","DDCO | TSDT","CITI-LCH | LCH","","USDLIBOR3M6M | USD LIBOR S 3M","USD","USD3MLIBOR | USD LIBOR 3M","B","OSTRG | MUREXFO","","","","TRD","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20170915","20370921","24200000","USD","24200000","USD","2.4015","0","0","0","","","","0","000076742","HELD","","1010000051","SW10000000LCH0004058574432832874","","0","","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609618","IRD","IRS","","IRS TRD","N","DDCO | TSDT","CITI-LCH | LCH","","USDLIBOR3M6M | USD LIBOR S 3M","USD","USD3MLIBOR | USD LIBOR 3M","B","OSTRG | MUREXFO","","","","TRD","DCLNY | DEXIA_NY","","","","","","DCLNY | DEXIA_NY","20170915","20290919","12100000","USD","12100000","USD","2.248","0","0","0","","","","0","000076742","HELD","","1010000051","SW10000000LCH0004058571732832878","","0","","","","","0","0","Perfect","","Y","TR","NOH","","0","","","","","","","","","N","N","","","USR","","0"
"MATCHED","609632","IRD","BOND"," | CPCD","CPIG","N","NCLM | STFU","SALOMON","","","USD","GCPC 0 050418  BOND | 2487           BOND","S","","","","","","DCLNY | DEXIA_NY","VENTM | MUREXFO","Govt Gauranteed CP","","","AFS","DCLNY | DEXIA_NY","20170918","20180504","25","CTR","0 | 100000000","USD","99.08166682","0","0","0","CPUSD","StateGt","","0","000076742","HELD","","","","","0","","","","","0","0","Perfect","NoHedge","Y","","","","0","","","","","","","","","N","N","","","USR","","0"
